瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),泅瘤扁拘 QC敲贰弊,秦搁扁拘(hPa),秦搁扁拘 QC敲贰弊,老炼(hr),老炼 QC敲贰弊,老荤(MJ/m2),老荤 QC敲贰弊,利汲(cm),3矫埃脚利汲(cm),傈款樊(10盒困),吝窍摸款樊(10盒困),款屈(款屈距绢),弥历款绊(100m ),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C),瘤搁柯档 QC敲贰弊,5cm 瘤吝柯档(∑C),10cm 瘤吝柯档(∑C),20cm 瘤吝柯档(∑C),30cm 瘤吝柯档(∑C)
146,傈林,2026-01-01 01:00,-6.5,,,,1.7,,340,,61,,2.3,-12.7,1021,,1028.9,,,9,,9,,,0,0,,,4363,,,-2.6,,,,,
146,傈林,2026-01-01 02:00,-6.9,,,,3,,320,,67,,2.4,-12,1020.7,,1028.6,,,9,,9,,,0,0,,,3757,,,-3.1,,,,,
146,傈林,2026-01-01 03:00,-7.2,,,,3.3,,320,,67,,2.4,-12.2,1020.6,,1028.5,,,9,,9,,,0,0,,,4152,,,-3.7,,,,,
146,傈林,2026-01-01 04:00,-7.7,,,,3.3,,340,,70,,2.4,-12.2,1020.6,,1028.5,,,9,,9,,,0,0,,,3913,,,-4,,,,,
146,傈林,2026-01-01 05:00,-8.4,,,,2.4,,340,,70,,2.3,-12.9,1020.6,,1028.6,,,9,,9,,,0,0,,,3489,,,-4.1,,,,,
146,傈林,2026-01-01 06:00,-8.7,,,,2,,340,,71,,2.3,-13,1020.4,,1028.4,,,9,,9,,,0,0,,,3959,,,-4.2,,,,,
146,傈林,2026-01-01 07:00,-8.7,,,,1,,290,,71,,2.3,-13,1020.9,,1028.9,,,9,,9,,,0,0,,,3573,,,-4.4,,,,,
146,傈林,2026-01-01 08:00,-8.7,,,,1.7,,340,,71,,2.3,-13,1021,,1029,,0,,.01,,,,5,0,Cc,,3176,,,-4,,,,,
146,傈林,2026-01-01 09:00,-7.6,,,,1.9,,320,,65,,2.3,-13,1021.3,,1029.3,,.2,,.25,,,,9,0,Cs,,3227,,,-3.1,,,,,
146,傈林,2026-01-01 10:00,-6.6,,,,1.8,,320,,58,,2.2,-13.5,1021.9,,1029.8,,.4,,.53,,,,8,0,Cs,,3864,,,-2,,,,,
146,傈林,2026-01-01 11:00,-5.1,,,,1.8,,290,,47,,2,-14.6,1021.8,,1029.7,,.8,,1.09,,,,9,0,Cs,,4276,,,-.7,,,,,
146,傈林,2026-01-01 12:00,-3.8,,,,3.7,,360,,40,,1.8,-15.4,1021,,1028.8,,.7,,1.18,,,,8,0,Cs,,4219,,,-.2,,,,,
146,傈林,2026-01-01 13:00,-3.5,,,,3.2,,290,,34,,1.6,-17.1,1020.2,,1028,,.5,,1.24,,,,9,0,Ci,,4670,,,-.1,,,,,
146,傈林,2026-01-01 14:00,-2.2,,,,2.9,,320,,30,,1.6,-17.4,1019.1,,1026.9,,.9,,1.38,,,,8,0,Ci,,4771,,,.2,,,,,
146,傈林,2026-01-01 15:00,-1.8,,,,3,,340,,27,,1.5,-18.3,1018.8,,1026.6,,1,,1.24,,,,4,0,Ci,,4609,,,-.2,,,,,
146,傈林,2026-01-01 16:00,-1.7,,,,2.9,,290,,27,,1.5,-18.2,1018.5,,1026.3,,1,,1.03,,,,3,0,Ci,,4691,,,-.6,,,,,
146,傈林,2026-01-01 17:00,-2.9,,,,2.6,,320,,32,,1.6,-17.3,1018.6,,1026.4,,.7,,.35,,,,4,0,Ci,,4953,,,-1.6,,,,,
146,傈林,2026-01-01 18:00,-3.9,,,,2,,340,,34,,1.6,-17.4,1018.5,,1026.3,,0,,.03,,,,3,0,Ci,,4942,,,-2.6,,,,,
146,傈林,2026-01-01 19:00,-4.2,,,,1.4,,290,,37,,1.7,-16.7,1018.3,,1026.1,,,9,,9,,,0,0,,,4727,,,-3.2,,,,,
146,傈林,2026-01-01 20:00,-4.4,,,,2.7,,320,,40,,1.8,-16,1018.2,,1026,,,9,,9,,,0,0,,,4267,,,-3.6,,,,,
146,傈林,2026-01-01 21:00,-5.4,,,,2.3,,320,,48,,2,-14.7,1018.3,,1026.2,,,9,,9,,,1,1,Sc,13,3653,,,-3.7,,,,,
146,傈林,2026-01-01 22:00,-5.5,,,,1.2,,340,,53,,2.2,-13.5,1018,,1025.9,,,9,,9,,,8,3,,11,3305,,,-3.2,,,,,
146,傈林,2026-01-01 23:00,-5,,,,1.3,,320,,54,,2.3,-12.8,1017.9,,1025.7,,,9,,9,,,9,5,,10,3770,,,-2.7,,,,,
146,傈林,2026-01-02 00:00,-5.6,,,,1.7,,340,,59,,2.4,-12.3,1017.6,,1025.5,,,9,,9,,,6,6,Sc,,4396,,,-3.6,,,,,
146,傈林,2026-01-02 01:00,-5.4,,,,2.4,,320,,63,,2.6,-11.3,1017.3,,1025.2,,,9,,9,,,7,3,,10,3925,,,-3.5,,,,,
146,傈林,2026-01-02 02:00,-6.1,,,,3.1,,320,,60,,2.3,-12.6,1017.8,,1025.7,,,9,,9,,,6,6,,13,4228,,,-4,,,,,
146,傈林,2026-01-02 03:00,-6.9,,,,3.7,,320,,63,,2.3,-12.7,1018,,1025.9,,,9,,9,,,0,0,,,4555,,,-4.8,,,,,
146,傈林,2026-01-02 04:00,-7.5,,,,1.9,,50,,65,,2.3,-12.9,1018,,1025.9,,,9,,9,,,0,0,,,4172,,,-5.1,,,,,
146,傈林,2026-01-02 05:00,-8,,,,1.7,,50,,67,,2.3,-13,1018.1,,1026,,,9,,9,,,0,0,,,3909,,,-5.4,,,,,
146,傈林,2026-01-02 06:00,-8.6,,,,1.4,,50,,70,,2.3,-13,1018,,1026,,,9,,9,,,4,4,Sc,13,3808,,,-5.5,,,,,
146,傈林,2026-01-02 07:00,-8.4,,,,2.1,,70,,69,,2.3,-13,1018.6,,1026.6,,,9,,9,,,5,5,Sc,8,4042,,,-5.5,,,,,
146,傈林,2026-01-02 08:00,-8.7,,,,1.6,,20,,70,,2.2,-13.1,1019.1,,1027.1,,0,,0,,,,4,0,Cs,,3703,,,-5.8,,,,,
146,傈林,2026-01-02 09:00,-7.1,,,,1.9,,50,,64,,2.3,-12.7,1019.7,,1027.6,,.8,,.33,,,,0,0,,,3616,,,-5.2,,,,,
146,傈林,2026-01-02 10:00,-6,,,,1.8,,360,,60,,2.3,-12.5,1020.2,,1028.1,,1,,.95,,,,1,1,Sc,10,3871,,,-3.7,,,,,
