지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
146,2020-01-01 00:00,-5.5,,.6,50,49,2,-14.5,1027.3,1035.3,,,,,0,0,,,2000,,,-7.1,,,,
146,2020-01-01 01:00,-5.6,,1.1,110,58,2.3,-12.5,1026.4,1034.4,,,,,0,0,,,1969,,,-7.3,,,,
146,2020-01-01 02:00,-6.1,,1.8,140,62,2.4,-12.2,1026.1,1034.2,,,,,0,0,,,1996,,,-7.6,,,,
146,2020-01-01 03:00,-5,,1.1,180,62,2.6,-11.1,1026,1034,,,,,9,9,Sc,11,1985,,,-5.2,,,,
146,2020-01-01 04:00,-4.6,,1.4,140,62,2.7,-10.7,1025.4,1033.4,,,,,9,9,Sc,11,2000,,,-3,,,,
146,2020-01-01 05:00,-3.8,,.7,140,60,2.8,-10.4,1025.3,1033.3,,,,,9,9,Sc,10,2000,,,-2.6,,,,
146,2020-01-01 06:00,-3.5,,.8,140,59,2.8,-10.3,1025.2,1033.2,,,,,9,9,Sc,10,2000,,,-2.4,,,,
146,2020-01-01 07:00,-3.2,,.2,0,59,2.9,-10,1025.6,1033.6,,,,,9,9,Sc,12,2000,,,-2.6,,,,
146,2020-01-01 08:00,-2.7,,.4,0,59,3,-9.6,1025.5,1033.5,0,.01,,,9,9,Sc,12,2000,,,-1.9,,,,
146,2020-01-01 09:00,-1.8,,.6,110,60,3.2,-8.5,1025.9,1033.8,0,.19,,,9,9,Sc,11,2000,,,.1,,,,
146,2020-01-01 10:00,-.8,,.9,140,59,3.4,-7.8,1026.2,1034.1,0,.4,,,8,8,Sc,11,2000,,,1.1,,,,
146,2020-01-01 11:00,1,,0,0,58,3.8,-6.3,1026,1033.8,0,.62,,,9,9,Sc,11,2000,,,2.3,,,,
