지점,일시,기온C,풍향deg,풍속ms,강수량mm,습도pct
702,2020-01-01 00:00,-5.9,36.9,1.8,0,64.8
702,2020-01-01 01:00,-7,68.7,1.6,0,71.9
702,2020-01-01 02:00,-7.5,47.2,.7,0,80.8
702,2020-01-01 03:00,-5.5,122.7,1.3,0,74.2
702,2020-01-01 04:00,-4.7,63.3,1.5,0,70.3
702,2020-01-01 05:00,-4.3,77.7,.5,0,70.4
702,2020-01-01 06:00,-3.9,61.7,.5,0,73.8
702,2020-01-01 07:00,-3.6,50.4,.5,0,71.8
702,2020-01-01 08:00,-3.2,0,.3,0,69.8
702,2020-01-01 09:00,-2.7,87.4,.6,0,62.6
702,2020-01-01 10:00,-1.2,74.4,.8,0,67.8
702,2020-01-01 11:00,1.3,41.7,.8,0,57.1
702,2020-01-01 12:00,2.4,121.8,1,0,60.8
702,2020-01-01 13:00,3.2,356.4,1,0,60.2
702,2020-01-01 14:00,3.7,316.2,1,0,56.7
702,2020-01-01 15:00,4,307,2.5,0,52.7
702,2020-01-01 16:00,3.6,162.7,.5,0,56.7
702,2020-01-01 17:00,2.2,132.9,.5,0,62.5
702,2020-01-01 18:00,-1.2,0,.3,0,80.2
702,2020-01-01 19:00,-1.2,0,.4,0,82.7
702,2020-01-01 20:00,-2.3,0,.3,0,88.1
702,2020-01-01 21:00,-2.3,0,.4,0,89
702,2020-01-01 22:00,-3.2,0,0,0,92.3
702,2020-01-01 23:00,-3.5,0,.2,0,92.6
702,2020-01-02 00:00,-3.7,102.2,.7,0,91.8
702,2020-01-02 01:00,-3.1,0,.3,0,95.2
702,2020-01-02 02:00,-3.7,0,0,0,93.6
702,2020-01-02 03:00,-3.4,0,0,0,94.6
702,2020-01-02 04:00,-4,0,0,0,94.4
702,2020-01-02 05:00,-4.6,316.8,1,0,96.9
702,2020-01-02 06:00,-4.8,0,0,0,96.8
702,2020-01-02 07:00,-5.3,0,0,0,96.5
702,2020-01-02 08:00,-5,0,0,0,97.1
702,2020-01-02 09:00,-2,82.2,.7,0,94.9
702,2020-01-02 10:00,.3,0,0,0,82
702,2020-01-02 11:00,2.3,0,0,0,71.7
702,2020-01-02 12:00,4,0,0,0,65.8
702,2020-01-02 13:00,5.1,144.1,1.4,0,64.8
702,2020-01-02 14:00,6,172,.8,0,58.4
702,2020-01-02 15:00,6.3,206.3,1.2,0,61.1
702,2020-01-02 16:00,6.5,303.3,.7,0,59.1
702,2020-01-02 17:00,4.9,277.9,.6,0,65.9
702,2020-01-02 18:00,1.5,252.6,.8,0,80.3
702,2020-01-02 19:00,-.4,0,0,0,88.7
702,2020-01-02 20:00,-1.1,0,0,0,93.2
702,2020-01-02 21:00,-1.8,0,0,0,96.5
702,2020-01-02 22:00,-1.5,0,0,0,96.6
702,2020-01-02 23:00,-.1,0,0,0,92.6
702,2020-01-03 00:00,-.7,0,0,0,92.7
702,2020-01-03 01:00,-2.1,0,0,0,95.8
702,2020-01-03 02:00,-2.6,0,0,0,97.4
702,2020-01-03 03:00,-2,0,0,0,97.4
702,2020-01-03 04:00,-1.1,0,0,0,97.4
702,2020-01-03 05:00,-.9,102.5,.7,0,97.4
